time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,rollout/ep_len_mean,train/std,time/episodes,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward,eval/success_rate
500,2,-22.3058943,197,0.0,50.0,0.049787066876888275,10,,,,,,,,,
1000,5,-23.0769104,198,0.0,50.0,0.049787066876888275,20,,,,,,,,,
1500,7,-23.200018600000003,199,0.0,50.0,0.049787066876888275,30,,,,,,,,,
2000,9,-23.252273025,200,0.0,50.0,0.049787066876888275,40,,,,,,,,,
2500,12,-23.75409718,197,0.0,50.0,0.049787066876888275,50,,,,,,,,,
3000,15,-23.725027566666665,194,0.0,50.0,0.049787066876888275,60,,,,,,,,,
3500,18,-24.706447414285712,193,0.0,50.0,0.049787066876888275,70,,,,,,,,,
3958,20,-23.928378937500003,193,0.012500000186264515,49.475,0.049787066876888275,80,,,,,,,,,
4458,23,-23.585767511111108,193,0.011111111380159855,49.53333333333333,0.049787066876888275,90,,,,,,,,,
4958,25,-23.29358293,193,0.009999999776482582,49.58,0.049787066876888275,100,,,,,,,,,
5458,28,-23.023022689999998,193,0.009999999776482582,49.58,0.049787066876888275,110,,,,,,,,,
5958,30,-22.631413370000004,193,0.009999999776482582,49.58,0.049787066876888275,120,,,,,,,,,
6458,33,-22.60402422,192,0.009999999776482582,49.58,0.049787066876888275,130,,,,,,,,,
6958,36,-22.165579969999996,192,0.009999999776482582,49.58,0.049787066876888275,140,,,,,,,,,
7442,38,-22.032858819999998,192,0.019999999552965164,49.42,0.049787066876888275,150,,,,,,,,,
7942,41,-22.063628750000003,191,0.019999999552965164,49.42,0.049787066876888275,160,,,,,,,,,
8442,44,-20.799930330000002,189,0.019999999552965164,49.42,0.049787066876888275,170,,,,,,,,,
8942,47,-20.967123740000005,188,0.009999999776482582,49.84,0.049787066876888275,180,,,,,,,,,
9442,50,-20.356619079999998,186,0.009999999776482582,49.84,0.049787066876888275,190,,,,,,,,,
9942,53,-20.89390987,186,0.009999999776482582,49.84,0.049787066876888275,200,,,,,,,,,
10442,59,-21.135487900000008,176,0.009999999776482582,49.84,0.04992718622088432,210,0.9734579622745514,0.0001,-0.10893924720585346,0.19493287056684494,0.7675911635160446,440,,,
10942,65,-21.702980079999996,167,0.009999999776482582,49.84,0.04999266192317009,220,0.9130908995866776,0.0001,-0.4465632289648056,-6.3783038854599,0.20909685641527176,940,,,
11442,71,-21.912717139999994,160,0.009999999776482582,49.84,0.05000292509794235,230,0.8639954924583435,0.0001,-0.6653121113777161,-11.883427143096924,0.3969714194536209,1440,,,
11942,77,-22.864380599999993,153,0.009999999776482582,49.84,0.050019413232803345,240,0.8196596801280975,0.0001,-0.997146487236023,-17.15855646133423,0.7527466788887978,1940,,,
12442,83,-22.438590719999997,148,0.0,50.0,0.05002184212207794,250,0.7786465436220169,0.0001,-1.2451238632202148,-21.010774612426758,0.38463400304317474,2440,,,
12942,90,-22.261084550000007,143,0.0,50.0,0.05002777278423309,260,0.7400483042001724,0.0001,-1.4660935401916504,-24.92951011657715,0.8750758469104767,2940,,,
13442,96,-22.83256615,139,0.0,50.0,0.05003324896097183,270,0.7036186903715134,0.0001,-1.5974676012992859,-27.414369106292725,0.8096101507544518,3440,,,
13942,102,-22.82070236,136,0.0,50.0,0.05003974959254265,280,0.6690097153186798,0.0001,-1.918481469154358,-30.17484760284424,0.5544350855052471,3940,,,
14442,108,-23.794915709999994,132,0.0,50.0,0.050059109926223755,290,0.6362452059984207,0.0001,-2.1987622380256653,-32.23838996887207,0.8588390834629536,4440,,,
14942,114,-23.68700981,130,0.0,50.0,0.050070621073246,300,0.6050407886505127,0.0001,-2.5384891033172607,-34.27723979949951,0.3908904269337654,4940,,,
15442,120,-24.1536236,127,0.0,50.0,0.05007442831993103,310,0.5755592584609985,0.0001,-2.9875832200050354,-35.359243392944336,0.6948447823524475,5440,,,
15942,126,-23.67467384,125,0.0,50.0,0.050097446888685226,320,0.5475378334522247,0.0001,-2.9101616740226746,-35.45932674407959,1.013800211250782,5940,,,
16442,133,-24.01802905,123,0.0,50.0,0.0501038134098053,330,0.5207538306713104,0.0001,-3.208393394947052,-36.48271560668945,0.31028900668025017,6440,,,
16942,140,-23.452631389999997,120,0.0,50.0,0.05011257156729698,340,0.49550728499889374,0.0001,-3.48562490940094,-36.70183086395264,0.20212192460894585,6940,,,
17442,146,-23.51393251,119,0.0,50.0,0.05011921748518944,350,0.4713757038116455,0.0001,-3.626223385334015,-36.23819351196289,0.23770569637417793,7440,,,
17942,152,-23.35409473,117,0.0,50.0,0.05012766644358635,360,0.44843223690986633,0.0001,-3.9009875059127808,-36.22381019592285,0.5442898087203503,7940,,,
18442,158,-23.435084100000005,116,0.0,50.0,0.050132617354393005,370,0.42661483585834503,0.0001,-4.395623207092285,-35.98087787628174,0.17254773154854774,8440,,,
18942,164,-23.795507089999997,115,0.0,50.0,0.050137780606746674,380,0.40588801354169846,0.0001,-4.502638220787048,-35.358736991882324,0.4970567598938942,8940,,,
19442,170,-23.35884886,113,0.0,50.0,0.050141774117946625,390,0.38608192652463913,0.0001,-4.045170545578003,-34.40229511260986,0.4191199578344822,9440,,,
19942,177,-22.81912179,112,0.0,50.0,0.05014351010322571,400,0.3672948554158211,0.0001,-5.12154495716095,-34.355170249938965,0.8657565787434578,9940,,,
20000,,,,,,,,0.3652591332793236,0.0001,-5.2725876569747925,-34.16810989379883,0.2810555100440979,9996,50.0,-21.1515664,0.0
20442,189,-22.094451510000003,107,0.0,50.0,0.05014444515109062,410,0.349476620554924,0.0001,-5.261647939682007,-33.15719223022461,0.5175538565963507,10440,,,
20942,195,-22.23674132,107,0.0,50.0,0.050155024975538254,420,0.33250124752521515,0.0001,-5.39258337020874,-32.481995582580566,0.21313003823161125,10940,,,
21442,201,-21.95277687,106,0.0,50.0,0.050163380801677704,430,0.3163267448544502,0.0001,-5.798329591751099,-31.397777557373047,0.1445783767849207,11440,,,
21942,207,-21.97664209,105,0.0,50.0,0.05016586184501648,440,0.3009706437587738,0.0001,-5.992779731750488,-30.518070697784424,0.3906736709177494,11940,,,
22442,213,-22.080861919999997,104,0.0,50.0,0.05016431212425232,450,0.2863194867968559,0.0001,-6.275820374488831,-29.374433517456055,0.11788940615952015,12440,,,
22942,220,-22.197755410000003,104,0.0,50.0,0.050171248614788055,460,0.2723648175597191,0.0001,-6.136667966842651,-28.533267974853516,0.14513656124472618,12940,,,
23442,226,-21.73189954,103,0.0,50.0,0.05017941817641258,470,0.2591146379709244,0.0001,-6.701260328292847,-27.47477388381958,0.2005891352891922,13440,,,
23942,232,-21.375756449999994,102,0.0,50.0,0.050183311104774475,480,0.24650070071220398,0.0001,-6.770195960998535,-26.392045974731445,0.35879678651690483,13940,,,
24442,238,-21.580588390000003,102,0.0,50.0,0.05018851161003113,490,0.23455994948744774,0.0001,-6.963672399520874,-25.37545871734619,0.10807790048420429,14440,,,
24942,244,-21.899517740000007,102,0.0,50.0,0.050198864191770554,500,0.2231520526111126,0.0001,-7.549807190895081,-24.49009656906128,0.10498187132179737,14940,,,
25442,250,-22.188320100000002,101,0.0,50.0,0.0501977801322937,510,0.21226755902171135,0.0001,-7.399568796157837,-23.33912706375122,0.3770766658708453,15440,,,
25942,256,-21.908317369999995,101,0.0,50.0,0.05020460486412048,520,0.20195471867918968,0.0001,-7.485732197761536,-22.272284030914307,0.0871952474117279,15940,,,
26442,262,-21.450863970000004,100,0.0,50.0,0.05021130293607712,530,0.19211877137422562,0.0001,-8.198548555374146,-21.425776481628418,0.08553067408502102,16440,,,
26942,268,-21.040465350000005,100,0.0,50.0,0.050214819610118866,540,0.1827719882130623,0.0001,-8.578024625778198,-20.41676092147827,0.35645003989338875,16940,,,
27442,274,-20.879482390000003,99,0.0,50.0,0.050216611474752426,550,0.17387646436691284,0.0001,-8.5704665184021,-19.456952571868896,0.08671378158032894,17440,,,
27942,280,-20.62988178,99,0.0,50.0,0.050221037119627,560,0.16542898863554,0.0001,-8.931525945663452,-18.677849292755127,0.04015322960913181,17940,,,
28442,286,-20.839063770000003,99,0.0,50.0,0.05022533982992172,570,0.15737469121813774,0.0001,-9.077897787094116,-17.713677406311035,0.05222759069874883,18440,,,
28942,292,-20.956734689999994,98,0.0,50.0,0.05023190379142761,580,0.14969521388411522,0.0001,-10.088914155960083,-16.994774341583252,0.20384501665830612,18940,,,
29442,298,-20.903652560000005,98,0.0,50.0,0.05023417994379997,590,0.14241501688957214,0.0001,-9.005077123641968,-16.04188895225525,0.1544225551187992,19440,,,
29942,304,-20.721060190000003,98,0.0,50.0,0.05024412274360657,600,0.13548919185996056,0.0001,-9.355719566345215,-15.206404447555542,0.02376313880085945,19940,,,
30442,310,-20.703394210000003,98,0.0,50.0,0.0502445325255394,610,0.1289137750864029,0.0001,-9.782894372940063,-14.503579378128052,0.02713312255218625,20440,,,
30942,317,-20.879191470000002,97,0.0,50.0,0.05024170130491257,620,0.1226351372897625,0.0001,-10.109232902526855,-13.689816951751709,0.06787055544555187,20940,,,
31442,323,-20.98206025,97,0.0,50.0,0.05024776980280876,630,0.11667004600167274,0.0001,-10.312444925308228,-12.94221830368042,0.02507418394088745,21440,,,
31942,330,-21.169545000000003,96,0.0,50.0,0.05024753138422966,640,0.11099179647862911,0.0001,-10.755441427230835,-12.367080211639404,0.01979159377515316,21940,,,
32442,335,-21.403876349999997,96,0.0,50.0,0.05025315284729004,650,0.10556735470890999,0.0001,-11.532979249954224,-11.652037858963013,0.021500398870557547,22440,,,
32942,342,-21.751403419999995,96,0.0,50.0,0.05026933550834656,660,0.10044277831912041,0.0001,-11.824861526489258,-10.980082750320435,0.016734076663851738,22940,,,
33442,348,-21.978668919999997,95,0.0,50.0,0.050268642604351044,670,0.09556876868009567,0.0001,-11.359400033950806,-10.330764770507812,0.012794865295290947,23440,,,
33942,354,-21.89062422,95,0.0,50.0,0.0502762496471405,680,0.09090905077755451,0.0001,-11.428213596343994,-9.693314552307129,0.015881814993917942,23940,,,
34442,360,-22.131661060000006,95,0.0,50.0,0.050288304686546326,690,0.08649363927543163,0.0001,-13.238199710845947,-9.242946147918701,0.019181009382009506,24440,,,
34942,367,-22.15152526,95,0.0,50.0,0.0502919964492321,700,0.08228352665901184,0.0001,-12.623816013336182,-8.645719766616821,0.013463303330354393,24940,,,
35442,372,-22.148388429999997,95,0.0,50.0,0.0502978079020977,710,0.07828414067626,0.0001,-12.16503095626831,-8.107494115829468,0.0161265404894948,25440,,,
35942,378,-22.390421449999998,94,0.0,50.0,0.05029349774122238,720,0.07448281161487103,0.0001,-12.641219854354858,-7.4852951765060425,0.049098414834588766,25940,,,
36442,385,-22.4729943,94,0.0,50.0,0.05030091851949692,730,0.07085488550364971,0.0001,-13.320707082748413,-7.047484755516052,0.019315788173116744,26440,,,
36942,391,-22.348710770000007,94,0.0,50.0,0.05030492693185806,740,0.0674185212701559,0.0001,-13.257431030273438,-6.531492233276367,0.010391785996034741,26940,,,
37442,396,-22.249914760000003,94,0.0,50.0,0.050310950726270676,750,0.06413815543055534,0.0001,-13.057098627090454,-6.039019346237183,0.008977856603451073,27440,,,
37942,402,-22.07143471,94,0.0,50.0,0.05031003803014755,760,0.061017053201794624,0.0001,-13.62100887298584,-5.65736985206604,0.053827831987291574,27940,,,
38442,408,-22.033165540000006,94,0.0,50.0,0.05030529946088791,770,0.058046283200383186,0.0001,-13.67934513092041,-5.122362017631531,0.12883384770248085,28440,,,
38942,414,-22.121381130000003,93,0.0,50.0,0.05030682682991028,780,0.055214895866811275,0.0001,-14.354865789413452,-4.8712769746780396,0.012703508604317904,28940,,,
39442,420,-21.827130560000004,93,0.0,50.0,0.05030710622668266,790,0.05253330897539854,0.0001,-14.298627853393555,-4.349241137504578,0.017732875887304544,29440,,,
39942,426,-21.930257810000008,93,0.0,50.0,0.05030156672000885,800,0.04996797163039446,0.0001,-13.94547724723816,-3.9500853419303894,0.029327899450436234,29940,,,
40000,,,,,,,,0.04969004448503256,0.0001,-15.367680072784424,-4.027762770652771,0.016449085203930736,29996,50.0,-21.450899449999998,0.0
40442,439,-21.644270199999998,92,0.0,50.0,0.050298016518354416,810,0.047537317499518394,0.0001,-14.693177938461304,-3.7272550463676453,0.014309933525510132,30440,,,
40942,445,-21.22511693,91,0.0,50.0,0.05029783397912979,820,0.045221355743706226,0.0001,-14.714352369308472,-3.315132200717926,0.04414730740245432,30940,,,
41442,451,-21.26346078,91,0.0,50.0,0.05029376596212387,830,0.04301054589450359,0.0001,-15.516218900680542,-3.0439268350601196,0.016111926292069256,31440,,,
41942,458,-21.4742996,91,0.0,50.0,0.050292305648326874,840,0.040926480665802956,0.0001,-15.30178451538086,-2.6830759048461914,0.047513216792140156,31940,,,
42442,464,-21.07430939,91,0.0,50.0,0.05030139535665512,850,0.03893430344760418,0.0001,-16.09522008895874,-2.4613131284713745,0.007239561819005758,32440,,,
42942,470,-21.01477632,91,0.0,50.0,0.05030287429690361,860,0.03704427648335695,0.0001,-15.695632696151733,-2.1545934081077576,0.0026104587595909834,32940,,,
43442,477,-20.77976807,91,0.0,50.0,0.05030910670757294,870,0.035241907462477684,0.0001,-15.537514448165894,-1.848923146724701,0.002487999328877777,33440,,,
43942,483,-20.3508406,90,0.0,50.0,0.05030686780810356,880,0.03352925926446915,0.0001,-16.583711624145508,-1.638331651687622,0.011375466012395918,33940,,,
44442,489,-20.172969270000003,90,0.0,50.0,0.05031001567840576,890,0.03189485799521208,0.0001,-16.33019733428955,-1.379110723733902,0.017288887116592377,34440,,,
44942,495,-19.83249419,90,0.0,50.0,0.05030981823801994,900,0.030343063175678253,0.0001,-17.2323260307312,-1.172364592552185,0.009465344017371535,34940,,,
45442,502,-19.896045790000002,90,0.0,50.0,0.050308164209127426,910,0.028867121785879135,0.0001,-18.428932189941406,-0.9339642226696014,0.014997339923866093,35440,,,
45942,508,-20.215463930000002,90,0.0,50.0,0.050310488790273666,920,0.02746485872194171,0.0001,-17.393043518066406,-0.7151884734630585,0.006172977387905121,35940,,,
46442,515,-19.92541249,90,0.0,50.0,0.05030675232410431,930,0.02612359169870615,0.0001,-18.347407817840576,-0.5342537313699722,0.019671564688906074,36440,,,
46942,521,-20.01022976,90,0.0,50.0,0.0503101572394371,940,0.02485504001379013,0.0001,-17.68197250366211,-0.27573496475815773,0.003069534373935312,36940,,,
47442,526,-20.36409222,90,0.0,50.0,0.05029962956905365,950,0.023642418440431356,0.0001,-18.63860559463501,-0.12189685180783272,0.0016314468521159142,37440,,,
47942,532,-20.55388103,89,0.0,50.0,0.050302326679229736,960,0.02249079803004861,0.0001,-17.528169631958008,0.15039997920393944,0.004808436206076294,37940,,,
48442,539,-20.45648148,89,0.0,50.0,0.05029367655515671,970,0.021400685887783766,0.0001,-18.767510414123535,0.33232925832271576,0.006255096290260553,38440,,,
48942,546,-21.340416329999996,89,0.0,50.0,0.05029721558094025,980,0.020363652613013983,0.0001,-18.898818492889404,0.46664056926965714,0.0036063694569747895,38940,,,
49442,552,-21.43828575,89,0.0,50.0,0.050292354077100754,990,0.019375501666218042,0.0001,-18.071507930755615,0.5588319674134254,0.005430829070974141,39440,,,
49942,558,-21.762616169999998,89,0.0,50.0,0.05029295012354851,1000,0.01843108981847763,0.0001,-18.247169017791748,0.7479250729084015,0.0024383675190620124,39940,,,
50442,565,-21.528860919999996,89,0.0,50.0,0.050284773111343384,1010,0.01753474585711956,0.0001,-18.745539665222168,0.8798360079526901,0.007837786222808063,40440,,,
50942,572,-21.404127759999998,89,0.0,50.0,0.05027791112661362,1020,0.01668426627293229,0.0001,-19.75173330307007,1.048628330230713,0.0018535230483394116,40940,,,
